,oafid,s2_4_homemadeof,s2_5_home_roof,s2_6_dwelling_floor,num_rooms,num_children,s3_2_13_av_sell_01,s3_2_13_av_sell_02,s3_2_13_av_sell_03,s3_2_13_av_sell_04,s3_2_13_av_sell_05,s3_2_13_av_sell_06,s3_2_13_av_sell_07,s3_2_13_av_sell_08,s3_2_13_av_sell_09,s3_2_13_av_sell_10,s3_2_13_av_sell_11,s3_2_13_av_sell_12,s3_2_13_av_purch01,s3_2_13_av_purch02,s3_2_13_av_purch03,s3_2_13_av_purch04,s3_2_13_av_purch05,s3_2_13_av_purch06,s3_2_13_av_purch07,s3_2_13_av_purch08,s3_2_13_av_purch09,s3_2_13_av_purch10,s3_2_13_av_purch11,s3_2_13_av_purch12,s3_2_13_av_01,s3_2_13_av_02,s3_2_13_av_03,s3_2_13_av_04,s3_2_13_av_05,s3_2_13_av_06,s3_2_13_av_07,s3_2_13_av_08,s3_2_13_av_09,s3_2_13_av_10,s3_2_13_av_11,s3_2_13_av_12,digit_recall,site,treatment,tags,lockbox,loantakeup_roster,baselined,gender,num_adults,finished_primary,finished_secondary,num_schoolchildren,schoolfees,harvest2011,pctmaizesoldearly2011,maizesalesprice2011,netsales2011,netseller2011,autarkic2011,netrevenue2011,maizelostpct2011,pctsoldbroker2011,OAFDAPacre2012,OAFCANacre2012,nonOAFDAPacre2012,nonOAFCANacre2012,harvest2012,price_avg_diff_pct,price_avg_purdiff_pct,price_expect_diff_pct,delta_base,totmaize,totfoodcons_base,totcons_base,logtotcons_base,logadults,logkids,hhsize,percapcons_base,logpercapcons_base,logpercapfoodcons_base,cropland,maizegift_give,maizeloan_give,moneygift_give,moneyloan_give,maizegift_receive,maizeloan_receive,moneygift_receive,maizegift_diff,maizegiver,has_savings_acct,total_cash_savings_base,totalsavingspct,total_cash_savings_trimmed,taken_bank_loan,amt_bank_loan,taken_moneylender_loan,taken_friend_loan,taken_informal_loan,assetval,livestockval,liquidWealth,janfeb_expend,correct_interest,liar,male,wagepay,businessprofitmonth_base,maizetransfer_base,happy_base,improve_life_base,groupnum_baseline,hi,_merge
0,37035,1,2,1,2.0,3.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,100.0,90.0,80.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,110.0,100.0,90.0,60.0,70.0,80.0,100.0,110.0,120.0,130.0,140.0,110.0,100.0,90.0,80.0,4.0,,,,,,,,2.0,1.0,0.0,3.0,22.0,4.0,,,-9000.0,0.0,0.0,-9000.0,,,,,25.0,25.0,7.0,100.0,83.333336,66.666664,0.042857144,300.0,7885.7144,9429.214,9.151568,0.6931472,1.0986123,3.2,2946.6294,7.988417,7.809657,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99355.0,0.0,99355.0,0.3943662,1.0,0.0,0.0,0.0,2000.0,0.0,3.0,4.0,,,master only (1)
1,33974,1,2,1,1.0,5.0,50.0,40.0,40.0,50.0,60.0,60.0,70.0,70.0,80.0,80.0,90.0,80.0,60.0,50.0,50.0,60.0,70.0,70.0,80.0,80.0,90.0,90.0,100.0,90.0,60.0,60.0,70.0,70.0,80.0,80.0,90.0,90.0,100.0,110.0,120.0,110.0,4.0,,,,,,,,2.0,0.0,0.0,2.0,1.25,0.0,,,,,0.0,,,,,,,,0.0,60.0,50.0,83.333336,0.21428572,300.0,3900.0,5113.4375,8.539627,0.6931472,1.609438,4.0,1278.3594,7.1533327,6.8824377,1.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,12570.0,2500.0,15073.0,0.26666668,0.0,0.0,0.0,1000.0,0.0,0.0,2.0,4.0,,,master only (1)
2,9459314,3,2,2,7.0,4.0,35.0,35.0,35.0,55.0,55.0,55.0,80.0,80.0,90.0,100.0,110.0,120.0,30.0,30.0,30.0,50.0,50.0,50.0,70.0,70.0,80.0,90.0,100.0,110.0,50.0,65.0,70.0,80.0,90.0,100.0,100.0,100.0,110.0,120.0,120.0,80.0,7.0,,,,,,,,5.0,1.0,1.0,5.0,85.0,81.0,0.0,4000.0,184000.0,1.0,0.0,184000.0,0.0,1.0,,,57.142857,28.571428,70.0,185.71428,200.0,140.0,0.14285715,600.0,12428.571,36049.99,10.492661,1.609438,1.3862944,6.6,5462.1196,8.605592,7.5406837,5.0,0.0,0.0,5000.0,75000.0,0.0,0.0,0.0,0.0,0.0,1.0,25001.0,190.0,25001.0,0.0,0.0,0.0,0.0,0.0,318885.0,27500.0,371386.0,0.7419355,1.0,0.0,0.0,0.0,150000.0,0.0,3.0,4.0,,,master only (1)
3,37421,2,1,1,2.0,4.0,25.0,30.0,30.0,35.0,40.0,45.0,50.0,60.0,70.0,80.0,90.0,80.0,30.0,35.0,35.0,40.0,45.0,50.0,55.0,65.0,75.0,85.0,95.0,85.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,150.0,140.0,4.0,,,,,,,,2.0,1.0,0.0,3.0,2.8,0.0,,,-10100.0,0.0,0.0,-10100.0,,,,,,,0.0,220.0,183.33333,180.0,0.42857143,250.0,3244.2856,3791.1855,8.240434,0.6931472,1.3862944,3.6,1053.1072,6.9595003,6.8037167,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1600.0,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7201.0,300.0,7501.0,0.46153846,1.0,0.0,0.0,2500.0,0.0,0.0,2.0,4.0,,,master only (1)
4,37055,1,2,1,2.0,2.0,50.0,60.0,65.0,70.0,75.0,80.0,90.0,100.0,120.0,130.0,140.0,150.0,60.0,70.0,70.0,75.0,80.0,85.0,95.0,110.0,130.0,140.0,150.0,160.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,150.0,6.0,,,,,,,,3.0,0.0,0.0,2.0,1.3,1.5,,,-2000.0,0.0,0.0,-2000.0,0.0,,,,0.0,0.0,2.0,160.0,133.33333,225.0,0.35714287,350.0,9985.714,12032.489,9.395366,1.0986123,0.6931472,3.8,3166.4446,8.060365,7.8739095,1.5,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,54.0,50.0,0.0,0.0,0.0,0.0,0.0,9702.0,43000.0,52752.0,0.32142857,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,,,master only (1)
5,33970,1,2,1,2.0,2.0,50.0,50.0,60.0,80.0,95.0,95.0,100.0,100.0,110.0,120.0,125.0,80.0,60.0,60.0,70.0,90.0,100.0,100.0,110.0,110.0,115.0,130.0,135.0,90.0,50.0,50.0,60.0,70.0,80.0,90.0,100.0,100.0,120.0,120.0,120.0,100.0,7.0,,,,,,,,2.0,1.0,0.0,0.0,0.0,0.0,,,-9800.0,0.0,0.0,-9800.0,,,,,0.0,8.0,7.0,140.0,116.666664,140.0,0.2857143,225.0,6385.7144,7557.381,8.93028,0.6931472,0.6931472,2.8,2699.0647,7.9006605,7.732199,0.75,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,1.0,5003.0,160.0,5003.0,0.0,0.0,0.0,1.0,1.0,95493.0,3200.0,103696.0,0.4375,1.0,0.0,0.0,0.0,10000.0,0.0,3.0,4.0,,,master only (1)
6,2688820,1,2,1,3.0,3.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,40.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,50.0,60.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,110.0,115.0,120.0,50.0,4.0,,,,,,,,2.0,1.0,0.0,1.0,1.0,0.5,,,-6900.0,0.0,0.0,-6900.0,0.0,,,,0.0,0.0,0.5,450.0,300.0,91.666664,0.071428575,450.0,5828.5713,12270.321,9.414939,0.6931472,1.0986123,3.2,3834.4753,8.251788,7.507376,0.5,0.0,6.0,500.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,33.0,3.0,0.0,0.0,0.0,1.0,1.0,18556.0,52000.0,70559.0,0.35555556,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,,master only (1)
7,12972164,1,2,1,2.0,4.0,50.0,50.0,55.0,55.0,60.0,65.0,75.0,85.0,90.0,100.0,110.0,100.0,55.0,55.0,60.0,60.0,65.0,70.0,80.0,90.0,100.0,110.0,115.0,110.0,40.0,50.0,55.0,60.0,70.0,80.0,85.0,90.0,95.0,100.0,100.0,95.0,5.0,,,,,,,,1.0,0.0,0.0,1.0,2.8,1.5,,,-20000.0,0.0,0.0,-20000.0,0.0,,,,100.0,100.0,1.5,100.0,100.0,150.0,0.14285715,280.0,3128.5715,9365.472,9.144785,0.0,1.3862944,2.6,3602.1047,8.189274,7.09282,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,90.0,503.0,0.0,0.0,0.0,0.0,0.0,103939.0,120800.0,225242.0,0.6060606,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,,master only (1)
8,37446,1,2,1,2.0,3.0,40.0,40.0,40.0,50.0,50.0,50.0,50.0,55.0,55.0,55.0,40.0,40.0,45.0,45.0,45.0,55.0,55.0,55.0,55.0,60.0,60.0,60.0,45.0,45.0,40.0,50.0,60.0,70.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,60.0,3.0,,,,,,,,3.0,0.0,0.0,2.0,4.0,0.0,,,-28000.0,0.0,0.0,-28000.0,,,,,100.0,50.0,4.0,37.5,33.333332,150.0,0.32857144,200.0,12857.143,17640.809,9.77797,1.0986123,1.0986123,4.2,4200.193,8.342886,8.02657,2.0,3.0,0.0,200.0,2000.0,4.0,0.0,1000.0,-1.0,0.0,0.0,153.0,61.0,153.0,0.0,0.0,0.0,1.0,1.0,6527.0,45000.0,51680.0,0.44444445,0.0,0.0,0.0,0.0,470.0,3.0,2.0,3.0,,,master only (1)
9,33955,1,2,1,3.0,2.0,20.0,25.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,90.0,80.0,70.0,25.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,100.0,90.0,80.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,170.0,180.0,180.0,3.0,,,,,,,,2.0,1.0,0.0,2.0,15.2,8.0,,,0.0,0.0,1.0,0.0,0.0,,,,40.0,40.0,3.0,350.0,300.0,112.5,0.14285715,60.0,3171.4285,4264.362,8.3580475,0.6931472,0.6931472,2.8,1522.9863,7.3284283,7.032318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11985.0,41500.0,53485.0,0.61538464,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,,master only (1)
